epoch,lr,train_loss,val_loss,val_precision,val_recall,val_f1,val_acc,best_threshold,epoch_time_sec
1,0.001,1.2902580750703811,1.354986854839325,0.3050430504305043,0.5835294117647059,0.40064620355411956,0.7032,0.82,2083.1318051815033
2,0.001,1.12055432895422,1.0858236251831055,0.45956192080876157,0.6417647058823529,0.5355915562101129,0.8108,0.85,2094.423278570175
3,0.001,0.9098461448967456,0.9800381874084473,0.5808550185873605,0.7352941176470589,0.6490134994807892,0.8648,0.9,2082.8677015304565
4,0.001,0.7211371325671673,0.9437432374477387,0.5136938202247191,0.8605882352941177,0.6433597185576078,0.8378,0.9,2083.1889238357544
5,0.001,0.5271653851285577,0.9513617853283882,0.5099836333878887,0.9164705882352941,0.6553101997896951,0.8361,0.9,2028.4091935157776
6,0.001,0.38846842809468507,0.5693947609871626,0.6821844225604298,0.8964705882352941,0.7747839349262837,0.9114,0.9,2036.4298467636108
7,0.001,0.2826373898468912,0.4609996855944395,0.7627811860940695,0.8776470588235294,0.8161925601750547,0.9328,0.9,2005.5008447170258
8,0.001,0.2169879324363079,0.40485320157557725,0.8203991130820399,0.8705882352941177,0.8447488584474886,0.9456,0.9,2076.5787115097046
9,0.001,0.1720395709379576,0.47835414184853436,0.747093023255814,0.9070588235294118,0.8193411264612115,0.932,0.9,2002.2355697154999
10,0.001,0.14751036412916146,0.7579838344544172,0.5796269727403156,0.9505882352941176,0.7201426024955436,0.8744,0.9,1997.0377006530762
11,0.0005,0.08145050719620485,0.4153164151742298,0.8009235505387378,0.918235294117647,0.8555768703754453,0.9473,0.9,1995.0597286224365
12,0.0005,0.06397637265194571,0.3964856333435513,0.8569826135726304,0.8988235294117647,0.877404536319265,0.9573,0.9,2000.7648508548737
13,0.0005,0.0537571581630953,0.4118515569164912,0.9103277674706246,0.8658823529411764,0.8875489900512511,0.9627,0.9,2025.9387395381927
14,0.0005,0.047483111198156805,0.36910409371884306,0.8765859284890427,0.8941176470588236,0.885264997087944,0.9606,0.9,18690.560033798218
15,0.0005,0.043372258341111226,0.40928987462607913,0.8516057585825028,0.9047058823529411,0.8773531089560753,0.957,0.9,2402.4985506534576
16,0.00025,0.02577303289393767,0.39221306076210677,0.8964306612053833,0.9011764705882352,0.8987973012613669,0.9655,0.9,2064.1774747371674
17,0.00025,0.020142918147760248,0.40277597489230904,0.8968160377358491,0.8947058823529411,0.8957597173144877,0.9646,0.9,2029.6997394561768
18,0.00025,0.02151750693664485,0.4500677836716628,0.9084888621312462,0.8876470588235295,0.8979470395715561,0.9657,0.88,2057.3079566955566
19,0.000125,0.013300042963618216,0.40424872417805263,0.8730425055928411,0.918235294117647,0.8950688073394495,0.9634,0.9,2036.386976480484
20,0.000125,0.009211782519772465,0.5209805750250727,0.9019264448336253,0.9088235294117647,0.9053618517433343,0.9677,0.6799999999999999,1982.4726302623749
